2024-09-25 06:36:11.098 [info] Default formatter is set to null for workspace /home/kittanaiyam
2024-09-25 07:28:40.595 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:28:44.975 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:28:48.749 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:28:52.336 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:28:58.090 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:29:03.770 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:29:10.175 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:29:14.020 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:29:16.050 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:29:21.715 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:30:04.315 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:30:07.050 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
2024-09-25 07:30:08.625 [info] Discover tests for workspace name: kittanaiyam - uri: /home/kittanaiyam/r2de3-workshops/dags/ws4_exercise3.py
